a : 			eyk
butter-milk : 	n.##maTTha
(clarified)butter :  n.##ghii
butterfly : 	n.##tiitri&nbsp;/&nbsp;titli
buttock : 	n.##kuulha(m.)&nbsp;/&nbsp;suriin(m.)
button : 		n.##ghunDi
button-hole : 	n.##kaaj
buttress : 	n.##aaR(m.)
buxom : 		a.##chanchal&nbsp;/&nbsp;gudaaz jism&nbsp;/&nbsp;KHuub&nbsp;/&nbsp;pur SHabaab
buy :             v.t.    KHariidna&nbsp;/&nbsp;laana&nbsp;/&nbsp;mol leyna
buyer :           n.      KHariidaar
buying :          pa.p.##KHariid&nbsp;/&nbsp;KHariidaari
by : 		prep.##baa&nbsp;/&nbsp;ba&nbsp;/&nbsp;bi&nbsp;/&nbsp;dar&nbsp;/&nbsp;fi&nbsp;/&nbsp;sey&nbsp;/&nbsp;zariiah
by accident :             ittefaaqan
by means of :             ba zariiah
by way of :               ba taur
bygone : 		a.##guziSHtah&nbsp;/&nbsp;pichhla
bystander : 	n.##tamaaSHaa'i
byword : 		n.##kahaawat&nbsp;/&nbsp;zarb ul misal
cab : 		n.##bagghi(f.)&nbsp;/&nbsp;ikka(m.)&nbsp;/&nbsp;taanga(m.)
cabal : 		n.##jattha(m.)&nbsp;/&nbsp;saaziSH(f.)&nbsp;/&nbsp;saaziSHi garoh(m.)&nbsp;/&nbsp;saanTh gaanTh
caballero : 	n.##ghuR sawaar(m.)			
cabbage : 	n.##band gobhi&nbsp;/&nbsp;karam kalla
cabbage : 	a.##churaana&nbsp;/&nbsp;maal maarna
cabby : 		n.##bagghi waala(m.)
cabin : 		n.##koThri(f.)
cabinet : 	n.##almaari&nbsp;/&nbsp;kaabiinah
cabinet maker : 	n.##baRha'i(m.)&nbsp;/&nbsp;tarKHaan(m.)
cable : 		n.##langar(m.)&nbsp;/&nbsp;rassi(m.)&nbsp;/&nbsp;taar(m.)
cable : 		v.t.##paeGHam rasaani karna&nbsp;/&nbsp;taar muhai'yah karna
caboodle : 	n.##bhiiR&nbsp;/&nbsp;GHol&nbsp;/&nbsp;hujuum&nbsp;/&nbsp;sarey ka saara&nbsp;/&nbsp;zaKHiirah
caboose : 	n.##jahaazi baawarchi KHaanah(m.)
cabotage : 	n.##saaHili kaSHti raani
cabretta : 	n.##bheyR khaal(f.)
cabriolet : 	n.##bagghi(f.)&nbsp;/&nbsp;do pahiyah gaaRi
cab-stand : 	n.##gaaRi aDDa&nbsp;/&nbsp;Taeksi aDDa(m.)
cacafogo : 	n.##aag ugalta
cache : 		n.##chor KHaanah(m.)&nbsp;/&nbsp;dafiinah(m.)
cachet : 		n.##mohr(f.)
cackle : 		v.i.##bak bak karna&nbsp;/&nbsp;buR buRaana&nbsp;/&nbsp;gap maarna&nbsp;/&nbsp;kuR kuRaana
cackle : 		n.##bak bak(f.)&nbsp;/&nbsp;buR buR(f.)&nbsp;/&nbsp;gap SHap(f.)&nbsp;/&nbsp;kuR kuR(f.)
cackler : 	n.##bakki&nbsp;/&nbsp;gappi
cacoethes : 	n.##buri aadat(f.)&nbsp;/&nbsp;buri lad(f.)
cacology : 	n.##GHalat talaffuz(m.)
cacophonist : 	n.##bey sura(m.)
cacophonous : 	a.##bad aawaaz&nbsp;/&nbsp;bey sura
cacophony : 	n.##bey sura pan(m.)&nbsp;/&nbsp;karaKHt aawaazi(f.)
cactus : 		n.##naag phani(m.)&nbsp;/&nbsp;thuuhar(m.)
cad : 		a.##adna&nbsp;/&nbsp;kamiinah&nbsp;/&nbsp;paaji&nbsp;/&nbsp;raziil&nbsp;/&nbsp;SHohda
cadaver : 	n.##laaSH(f.)&nbsp;/&nbsp;naSH(f.)
cadaverous : 	a.##kam zor&nbsp;/&nbsp;maryal saa&nbsp;/&nbsp;laaSH jaesa&nbsp;/&nbsp;Daraa'ona&nbsp;/&nbsp;zard
caddish : 	a.##bad maaaSH&nbsp;/&nbsp;bey usuula&nbsp;/&nbsp;kamiinah
caddy : 		n.##chaa'ey kaa Dibba(m.)&nbsp;/&nbsp;Dibya(f.)
cade : 		n.##haath kaa paala bachhRa
cade : 		n.##piipa(m.)
cadence : 	n.##aahang(m.)&nbsp;/&nbsp;qaafiyah(m.)&nbsp;/&nbsp;zeyr o bam(m.)
cadet : 		n.##chhoTa beyTa
cadge : 		v.t.##bhiik maangna&nbsp;/&nbsp;muft KHori karna
cadger : 		n.##muft KHor&nbsp;/&nbsp;pheyri waala&nbsp;/&nbsp;tufaeli
caduac : 		n.##ittefaaq(m.)&nbsp;/&nbsp;uftaad(f.)
Caesar : 		n.##qaesar(m.)
caesarian : 	a.##qaesari
caf : 		n.##qahwah KHaanah(m.)
cage : 		n.##pinjrah&nbsp;/&nbsp;qafas
cahier : 		n.##daftar(m.)
cahoot : 		n.##saajha(m.)
cajole : 		v.t.##phuslaana&nbsp;/&nbsp;war GHalaana
calamity : 	n.##aafat&nbsp;/&nbsp;bala&nbsp;/&nbsp;daaGH&nbsp;/&nbsp;GHazab&nbsp;/&nbsp;Haadisah&nbsp;/&nbsp;kam baKHti&nbsp;/&nbsp;musiibat&nbsp;/&nbsp;paap&nbsp;/&nbsp;qahr&nbsp;/&nbsp;sadmah&nbsp;/&nbsp;uftaad
calculate : 	v.t.##andaaza karna&nbsp;/&nbsp;Hesaab lagaana&nbsp;/&nbsp;jama tafriiq karna
calculated : 	a.##maeHsuub
calculating : 	a.##KHud GHaraz
calculation : 	n.##ginti&nbsp;/&nbsp;Hesaab&nbsp;/&nbsp;SHumaar
calculator : 	n.##moHtasib(m.)
calendar : 	n.##jantri&nbsp;/&nbsp;taqwiim
calf : 		n.##bachhRa&nbsp;/&nbsp;paaRa
calibrate : 	v.t.##mudarraj karna
calibre : 	n.##meyaar&nbsp;/&nbsp;wajaahat
call : 		v.i.##aawaaz deyna&nbsp;/&nbsp;bulaana&nbsp;/&nbsp;milney jaana&nbsp;/&nbsp;pukaarna&nbsp;/&nbsp;sada deyna
call : 		v.t.##bulaana&nbsp;/&nbsp;jagaana&nbsp;/&nbsp;yaad karna
call : 		n.##bulaawa(m.)&nbsp;/&nbsp;dawat&nbsp;/&nbsp;nida&nbsp;/&nbsp;pukaar(f.)&nbsp;/&nbsp;talab&nbsp;/&nbsp;yaad aawri&nbsp;/&nbsp;yaad farmaa'i
(to be)called : 		kaehlaana
call girl : 	n.##qaHbah&nbsp;/&nbsp;tawaa'ef
calligrapher : 	n.##KHuSH naweys
calligraphy : 	n.##KHattaati&nbsp;/&nbsp;KHuSH naweysi&nbsp;/&nbsp;kitaabat
calling : 	n.##dhanda(m.)&nbsp;/&nbsp;kaam(m.)&nbsp;/&nbsp;peySHah(m.)
calliper : 	n.##saral chaap(m.)
callipers : 	n.##kaanTa(m.)
callous : 	a.##bey RaeHm&nbsp;/&nbsp;saKHt&nbsp;/&nbsp;sang dil&nbsp;/&nbsp;zaalim
calloused : 	a.##sang dil
callously : 	adv.##bey raeHmi sey&nbsp;/&nbsp;sangdily sey
callow : 		a.##bey Daarhi&nbsp;/&nbsp;kora&nbsp;/&nbsp;naa laa'eq
calm : 		n.##aahistah&nbsp;/&nbsp;KHaamoSH&nbsp;/&nbsp;pur sukuun
calmness : 	n.##KHaamoSHi&nbsp;/&nbsp;sukuun&nbsp;/&nbsp;taSHaffi
(a)calory : 	n.##Haraarah(m.)
caltrop : 	n.##singhaaRa
calumny : 	n.##SHaaKH saanah&nbsp;/&nbsp;tuufaan
camel : 		n.##uunT(m.)&nbsp;/&nbsp;uunTni(f.)&nbsp;/&nbsp;SHutur
(she)camel : 	n.##saanDni
camel driver : 	n.##saarbaan
camel rider : 	n.##Shutr sawaar(m.)
cameleopard : 	n.##zarrafah(m.)
camelrider : 	n.##saanDni sawaar
in camera : 	a.##dar pardah
camerman : 	n.##akkaas(m.)
cammoca : 	n.##kim KHwaab
camp : 		n.##chhaa'oni&nbsp;/&nbsp;KHeymah&nbsp;/&nbsp;paRaa'o&nbsp;/&nbsp;urdu
camp : 		v.t.##baseyra karna&nbsp;/&nbsp;KHeymah gaaRna&nbsp;/&nbsp;paRaa'o Daalna
campaign : 	v.i.##maedan e jang meyn hona
campaign : 	n.##jangi kaar rawaa'i&nbsp;/&nbsp;markah&nbsp;/&nbsp;muhim
camphor : 	n.##kaafuur(f.)&nbsp;/&nbsp;kapuur(m.)
camphoric : 	a.##kaafuuri
can : 		aux.v.##sakna
canal : 		n.##naehr(f.)&nbsp;/&nbsp;ruud(f.)
canaliculus : 	n.##baariik suuraaKH
canalisation : 	n.##naehr saazi
canalise : 	v.t.##naehr saazi karna
canard : 		n.##jhuuTi KHabar(f.)
cancan : 		n.##eyk taraH ka naach
cancel : 		v.t.##baatil karna&nbsp;/&nbsp;fasKH karna
cancellate : 	a.##asfanji&nbsp;/&nbsp;suuraaKH suuraaKH
cancellation : 	n.##fasKH
cancellous : 	a.##asfanji&nbsp;/&nbsp;suuraaKH suuraaKH
cancer : 		n.##sartaan
candid : 		a.##bey reya&nbsp;/&nbsp;bey saaKHtah&nbsp;/&nbsp;saadah
candidly : 	adv.##KHaalisaanah&nbsp;/&nbsp;saadiqaanah
candidacy : 	n.##naam zadi&nbsp;/&nbsp;ummiid waari(f.)
candidate : 	n.##naam zad&nbsp;/&nbsp;ummiid waar(m.)
candidature : 	n.##naam zadi&nbsp;/&nbsp;ummiid waari
candle : 		n.##mom batti&nbsp;/&nbsp;SHama&nbsp;/&nbsp;siraaj
candle flame : 	n.##lau
candelabrum : 	n.##chaehl chiraaGH&nbsp;/&nbsp;SHama daan
candlelight : 	n.##SHama ki roSHni
candlestick : 	n.##SHama daan
candlewick : 	n.##batti&nbsp;/&nbsp;fatiila
candescence : 	n.##SHadiid Hiddat
candour : 	n.##adl&nbsp;/&nbsp;bey riyaa'i&nbsp;/&nbsp;eKHlaas&nbsp;/&nbsp;muKHlisi&nbsp;/&nbsp;raasti&nbsp;/&nbsp;sidq e dil&nbsp;/&nbsp;safaa'i
candy : 		n.##miThaa'i ki goli
candy sugar : 	n.##qand
candy fluff : 	n.##buRhya key baal
canine : 		a.##kuttey jaesa
caning : 		n.##beyd zani&nbsp;/&nbsp;piTaa'i
canister : 	n.##chaa'ey daan&nbsp;/&nbsp;charron ka Dibba
canna : 		n.##gul aKHtar&nbsp;/&nbsp;gul e tasbiiH : 
cannabis : 	n.##bhang(f.)&nbsp;/&nbsp;gaanja(m.)
cannibal : 	n.##aadam KHor&nbsp;/&nbsp;ham jins KHor
cannibalism : 	n.##aadam KHori
cannibalistic : 	n.##aadam KHoraanah
cannikin : 	n.##choTa sa Dibba(m.)
cannily : 	adv.##chaalaaki sey
cannon : 		n.##top(f.)
cannon : 		v.t.##top chalaana
cannonbal : 	n.##top ka golah
cannoneer : 	n.##top andaaz&nbsp;/&nbsp;topchi
cannonical : 	a.##qaanuuni&nbsp;/&nbsp;SHarai
canny : 		n.##aaqil&nbsp;/&nbsp;zehiin
canoe : 		n.##Donga&nbsp;/&nbsp;Dongi(dim.)
canon : 		n.##qaanuun(m.)&nbsp;/&nbsp;zaabitah(m.)
canopy : 		n.##arSH&nbsp;/&nbsp;saa'ebaan&nbsp;/&nbsp;SHaamiyaanah
canorous : 	n.##KHuSH aahang
cant : 		v.i.##bhiik maangna&nbsp;/&nbsp;faryaad karna
cant : 		n.##Dhalaan&nbsp;/&nbsp;jhukaa'o&nbsp;/&nbsp;khokhley alfaaz
cant : 		a.##haTTa kaTTa&nbsp;/&nbsp;mazbuut
cant : 		n.##niilaam(m.)
cantabile : 	n.##aasaan aur laehraati
cantaloup : 	n.##chhoTa KHarbuuzah
cantankerous : 	n.##bad aKHlaaq&nbsp;/&nbsp;bad mizaaj
cantation : 	n.##munaajaat&nbsp;/&nbsp;suruud
canted : 		a.##tirchha
canteen : 	n.##fauji bartan
cantilever : 	n.##paayah
cantillate : 	v.t.##munaajaat karna
cantle : 		n.##goSHah&nbsp;/&nbsp;qaaSH
canton : 		n.##qism
cantonment : 	n.##chhaa'oni
canty : 		a.##baSH SHaaSH
canvas : 		n.##kirmich&nbsp;/&nbsp;pardah e naqqaaSHi
canvass : 	v.t.##baeHs karna&nbsp;/&nbsp;chandah jama karna&nbsp;/&nbsp;jaa'ezah leyna&nbsp;/&nbsp;raa'ey mangna
canyon : 		n.##tang darrah
cap : 		v.t.##band karna&nbsp;/&nbsp;rok deyna
cap : 		n.##Topi
capable : 	a.##aehl&nbsp;/&nbsp;laa'eq&nbsp;/&nbsp;mustaid&nbsp;/&nbsp;qaabil&nbsp;/&nbsp;qaadir
capability : 	n.##bas&nbsp;/&nbsp;Haesiyat&nbsp;/&nbsp;qaabiliyat&nbsp;/&nbsp;salaaHiyat&nbsp;/&nbsp;taaqat&nbsp;/&nbsp;zarf
capacity : 	n.##bas&nbsp;/&nbsp;bisaat&nbsp;/&nbsp;Haesiyat&nbsp;/&nbsp;hasti&nbsp;/&nbsp;Hausalah&nbsp;/&nbsp;pahonch&nbsp;/&nbsp;peyT&nbsp;/&nbsp;poTa&nbsp;/&nbsp;qudrat&nbsp;/&nbsp;salaaHiyat(f.)&nbsp;/&nbsp;wusat(f.)&nbsp;/&nbsp;zarf(m.)
cape : 		n.##raas(m.)
capital : 	n.##daar ul KHilaafah(m.)&nbsp;/&nbsp;daar ul Hukuumat(f.)&nbsp;/&nbsp;jama&nbsp;/&nbsp;maaliyat(f.)&nbsp;/&nbsp;paa'ey taKHt(m.)&nbsp;/&nbsp;puunji(f.)&nbsp;/&nbsp;raaj dhaani(f.)&nbsp;/&nbsp;raas ul maal(m.)&nbsp;/&nbsp;sar maayah(m.)
capitalism : 	n.##sar maayah daari(f.)
capitate : 	a.##ghunDi daar&nbsp;/&nbsp;sar waala
capitation : 	n.##jizyah(m.)
Capitol : 	n.##muSHtari ka mandir
capote : 		n.##choGHah(m.)&nbsp;/&nbsp;libaadah(m.)
caprice : 	n.##mauj&nbsp;/&nbsp;tarang&nbsp;/&nbsp;waswaas
capricious : 	a.##mauji&nbsp;/&nbsp;mutaqallib&nbsp;/&nbsp;tarangi
captious : 	a.##nuktah chiin
captivate : 	v.t.##rijhaana&nbsp;/&nbsp;SHiiSHe meyn utaarna
captivating : 	n.##dil fareyb&nbsp;/&nbsp;dil ruba&nbsp;/&nbsp;seHar angeyz
captive : 	n.##asiir&nbsp;/&nbsp;giraftaar&nbsp;/&nbsp;qaedi
captivated : 	a.##giraftaar&nbsp;/&nbsp;maeHw
captivity : 	n.##asiiri&nbsp;/&nbsp;giraftaari
captor : 		n.##aasir&nbsp;/&nbsp;qaed karney waala
capture : 	v.t.##giraftaar karna&nbsp;/&nbsp;pakaRna&nbsp;/&nbsp;tasKHiir karna
capture : 	n.##asiiri&nbsp;/&nbsp;giraftaari&nbsp;/&nbsp;Heraasat&nbsp;/&nbsp;pakaR
captured : 	a.##asiir&nbsp;/&nbsp;giraftaar&nbsp;/&nbsp;pakRa hu'a
car : 		n.##gaaRi(f.)
carambola : 	n.##kamrakh
carat : 		n.##qiiraat
caravan : 	n.##kaar waan&nbsp;/&nbsp;qaafilah
carbon : 		n.##ko'elah(m.)
carbonised : 	pa.t.##jala hu'a
card : 		n.##patta&nbsp;/&nbsp;waraq
cardamom : 	n.##ilaa'echi
cardboard : 	n.##gatta
care : 		v.t.##deykh bhaal karna&nbsp;/&nbsp;fikra karna&nbsp;/&nbsp;KHayaal karna&nbsp;/&nbsp;KHayaal rakhna&nbsp;/&nbsp;nigaah rakhna&nbsp;/&nbsp;parwaah karna&nbsp;/&nbsp;puuchhna
care : 		n.##deykh bhaal&nbsp;/&nbsp;eHteyaat&nbsp;/&nbsp;fikr&nbsp;/&nbsp;Hawaalah&nbsp;/&nbsp;Heraast&nbsp;/&nbsp;KHabar&nbsp;/&nbsp;KHayaal&nbsp;/&nbsp;khaTka&nbsp;/&nbsp;moHaafizat(f.)&nbsp;/&nbsp;nigaah&nbsp;/&nbsp;nigraani&nbsp;/&nbsp;par daaKHt(f.)&nbsp;/&nbsp;parwaah(f.)&nbsp;/&nbsp;tiimar(m.)
carefree : 	a.##bey fikr&nbsp;/&nbsp;peyT bhara&nbsp;/&nbsp;waarastah
careful : 	a.##KHabar daar&nbsp;/&nbsp;moHtaat
carefully : 	adv.##hauley hauley&nbsp;/&nbsp;sanbhal kar
careless : 	a.##bey dhiyaan&nbsp;/&nbsp;bey parwaah&nbsp;/&nbsp;laa ubaali&nbsp;/&nbsp;mast
carelessness : 	n.##laa ubaali pan
career : 		n.##maSHGHalah&nbsp;/&nbsp;peySHah
caress : 		v.t.##laaD karna&nbsp;/&nbsp;puch kaarna&nbsp;/&nbsp;pyaar karna&nbsp;/&nbsp;pyaar sey haath pheyrna&nbsp;/&nbsp;saehlaana
caress : 		n.##chumkaar&nbsp;/&nbsp;laaD&nbsp;/&nbsp;pyaar
careworn : 	a.##aaSHuftah
cargo : 		n.##kheyp(f.)&nbsp;/&nbsp;maal(m.)
caricature : 	n.##KHaakah(m.)
caricature : 	v.t.##KHaakah uRaana
carnage : 	n.##ghamsaan&nbsp;/&nbsp;KHuun reyzi&nbsp;/&nbsp;kuSHt o KHuun
carnal : 		a.##jinsi&nbsp;/&nbsp;nafsaani
carnivore : 	n.##goSHt KHor
carnivorous : 	a.##goSHt KHor
carob : 		n.##qiiraat&nbsp;/&nbsp;ratti(f.)
carousing : 	n.##naa'o noSHi
carpet : 		n.##bisaat&nbsp;/&nbsp;farSH&nbsp;/&nbsp;GHaali chah&nbsp;/&nbsp;qaaliin
carpet : 		v.t.##farSH bichhaana
carriage : 	n.##gaaRi(f.)
carrier pigeon : 	n.##kabuutar naamah bar(m.)
carrion : 	n.##laaSH&nbsp;/&nbsp;mara jaanwar&nbsp;/&nbsp;murdaar
carrot : 		n.##gaajar(f.)
carry : 		v.t.##Dhona&nbsp;/&nbsp;ley jaana&nbsp;/&nbsp;uThaana
carry off : 		uchakna
carry out : 	v.t.##anjaam deyna
cart : 		n.##gaaRi(f.)
cartilage : 	n.##kurri(f.)
carve : 		v.t.##kaaTna&nbsp;/&nbsp;kandah karna&nbsp;/&nbsp;taraaSHna
carved : 		a.##kandah&nbsp;/&nbsp;naqSHiin
carving : 	n.##naqSH(m.)
cascade : 	n.##chaadar&nbsp;/&nbsp;jharna&nbsp;/&nbsp;SHalaal
case : 		n.##ghar&nbsp;/&nbsp;Haalat&nbsp;/&nbsp;KHol&nbsp;/&nbsp;sanduuq&nbsp;/&nbsp;suurat
casement : 	n.##dariichah(m.)
cash : 		n.##naqd&nbsp;/&nbsp;paesa&nbsp;/&nbsp;rokaR&nbsp;/&nbsp;zar
cashier : 	n.##fotah daar&nbsp;/&nbsp;KHazaanchi
cask : 		n.##chobi piipa
Cassia : 		n.##moTi daar chiini(f.)&nbsp;/&nbsp;senna
cast : 		v.t.##Daalna&nbsp;/&nbsp;dey maarna&nbsp;/&nbsp;Dhaalna&nbsp;/&nbsp;pheynkna&nbsp;/&nbsp;qurah pheynkna
cast : 		n.##qurah&nbsp;/&nbsp;saancha
cast away : 		Daal deyna
caste : 		n.##zaat(f.)
castle : 		n.##qalah(m.)
castles in the air :  n.##KHayaali pulaa'o
castrate : 	v.t.##aaKHtah karna
castrated : 	a.##aaKHtah
casual : 		a.##ey qaa'edah&nbsp;/&nbsp;bey takalluf&nbsp;/&nbsp;GHaer muntazir&nbsp;/&nbsp;ittefaaqi
casual leave : 	n.##ruKHsat e ittefaaqi(f.)
casually : 	adv.##bila iraadah&nbsp;/&nbsp;ittefaaqan&nbsp;/&nbsp;naa gaah
casualty : 	n.##waaqeah
casuist : 	n.##faqiih(m.)&nbsp;/&nbsp;mujtahid(m.)&nbsp;/&nbsp;mufti(m.)
casuistry : 	n.##ba zamiiriyat
casuistics : 	n.##taawiiliyaat(f.)
cat : 		n.##billa(m.)&nbsp;/&nbsp;billi(f.)&nbsp;/&nbsp;gurbah(f.)
catty : 		a.##billi jaesa&nbsp;/&nbsp;gurbah KHu
cataclysm : 	n.##GHazab&nbsp;/&nbsp;saelaab
cataclysmic : 	a.##saelaabi&nbsp;/&nbsp;tuGHiyaani
catacomb : 	n.##zamiin doz murdah KHaanah(m.)
catalogue : 	n.##fehrist
catapult : 	n.##falaKHan&nbsp;/&nbsp;GHuleyl&nbsp;/&nbsp;manjaniiq
catapulted : 	a.##uchhaala hu'a
cataract : 	n.##motiya band
catastrophe : 	n.##aafat(f.)&nbsp;/&nbsp;balaa'ey naa gaahaani(f.)
catch : 		v.t.##giraftaar&nbsp;/&nbsp;pakaRna&nbsp;/&nbsp;phaans leyna&nbsp;/&nbsp;phaansna&nbsp;/&nbsp;sanbhaalna&nbsp;/&nbsp;uchakna
catch : 		n.##dhoka(m.)&nbsp;/&nbsp;jaal(m.)
catch (a ball) : 		lapakna
catch one's breath : 	dam leyna
catch up : 	v.t.##aa leyna&nbsp;/&nbsp;jaa leyna
catch word : 	n.##niSHaani(f.)
catchment : 	n.##aab giirah(m.)&nbsp;/&nbsp;taas
catchment area :  n.##aab giiri elaaqah(m.)
catechu : 	n.##kattha(m.)
category : 	n.##darjah(m.)&nbsp;/&nbsp;qabiil(m.)&nbsp;/&nbsp;qism&nbsp;/&nbsp;qismat(f.)&nbsp;/&nbsp;sinf(f.)&nbsp;/&nbsp;zael(f.)&nbsp;/&nbsp;zumrah(m.)	
catgut : 		n.##taant(f.)		
catena : 		n.##zanjiir(f.)
catharisis : 	n.##ashaal(m.)&nbsp;/&nbsp;safaa'i(f.)
Cathay : 		n.##chiin(m.)	
cathedral : 	n.##girjah(m.)&nbsp;/&nbsp;kaliisah(m.)
cattle : 		n.##maweySHi(m.)&nbsp;/&nbsp;naKHaas(m.)
Caucasia : 	n.##qaaf(m.)
Caucasian Mountains :  n.##koh e qaaf(m.)
(to be)caught : 	v.i.##pakaR jaana
cauldron : 	n.##deyg(f.)&nbsp;/&nbsp;hanDa(m.)&nbsp;/&nbsp;kaRhaa'o(m.)&nbsp;/&nbsp;patiila(m.)
caulker : 	n.##kaalpatti
cause : 		n.##baais(m.)&nbsp;/&nbsp;bahaanah(m.)&nbsp;/&nbsp;illat(f.)&nbsp;/&nbsp;muujib(m.)&nbsp;/&nbsp;sabab(m.)&nbsp;/&nbsp;wajah(f.)
(without)cause : 	a.##bey sabab&nbsp;/&nbsp;bey wajah&nbsp;/&nbsp;bila wajah
causes : 		n.##asbaab(m.)&nbsp;/&nbsp;wujuuhaat(f.)
caustic : 	a.##khaara&nbsp;/&nbsp;teyz
caustically : 	adv.##tan aameyzaah
causeway : 	n.##pul(m.)
cauterise : 	v.t.##daaGH lagaana
caution : 	n.##eHteyaat
caution : 	v.t.##KHabar daar karna
cautious : 	a.##chau kanna&nbsp;/&nbsp;moHtaat&nbsp;/&nbsp;zaabit
cavalier : 	n.##SHaeh sawaar
cave : 		n.##GHaar
cavil : 		n.##SHaaKHsaanah
caviller : 	n.##nuktah chiin
cavity : 		n.##jauf(m.)&nbsp;/&nbsp;peyT&nbsp;/&nbsp;peyTa
cavort : 		v.i.##akaR kar chalna&nbsp;/&nbsp;itra kar chalna
caw : 		v.t.##kaa'in kaa'in karna
cawing : 		n.##kaa'in kaa'in
cease : 		v.t.##KHatm karna&nbsp;/&nbsp;rukna
cease fire : 	v.t.##jang bandi karna
cease fire : 	n.##jang bandi
ceaselessly : 	adv.##bila rukey&nbsp;/&nbsp;laga taar&nbsp;/&nbsp;mustaqil
cedar : 		n.##deodaar(m.)&nbsp;/&nbsp;sidrah(m.)
ceiling : 	n.##chhat(andar sey)
celebrate : 	v.t.##jaSHn manaana&nbsp;/&nbsp;rachaana
celebrated : 	a.##naami
celebration : 	n.##jaSHn&nbsp;/&nbsp;tehwaar
celebrity : 	n.##SHohrat
celerity : 	n.##faur&nbsp;/&nbsp;SHitaabi(f.)
celestial : 	a.##aasmaani&nbsp;/&nbsp;ilwi
cell : 		n.##goSHah&nbsp;/&nbsp;Hujrah&nbsp;/&nbsp;KHaliyah&nbsp;/&nbsp;koThri
cellar : 		n.##sard aab&nbsp;/&nbsp;taeh KHaanah
cement : 		v.t.##joRna
censor : 		n.##moHtasib(m.)
censure : 	n.##hajw&nbsp;/&nbsp;malaamat&nbsp;/&nbsp;nafriin&nbsp;/&nbsp;nikohiSH&nbsp;/&nbsp;tan&nbsp;/&nbsp;zam
censure : 	v.t.##malaamat karna&nbsp;/&nbsp;Tokna
census : 		n.##mardum SHumaari(m.)
central : 	a.##dar miyaani&nbsp;/&nbsp;markazi&nbsp;/&nbsp;wasti
centralise : 	v.t.##markuuz karna
centre : 		n.##biich&nbsp;/&nbsp;gaehwaarah&nbsp;/&nbsp;markaz&nbsp;/&nbsp;nuqtah&nbsp;/&nbsp;wast
centre of gravity :  n.##markaz e siql(m.)
centrifugal : 	a.##markaz gureyz
century : 	n.##qarn&nbsp;/&nbsp;sadi
ceremonies : 	n.##aadaab
ceremonious : 	a.##pur takalluf
ceremony : 	n.##rasm(f.)&nbsp;/&nbsp;taqriib(f.)
certain : 	a.##Hatmi&nbsp;/&nbsp;muqarrar&nbsp;/&nbsp;yaqiini
certainly : 	adv.##SHartiyah&nbsp;/&nbsp;yaqiinan&nbsp;/&nbsp;zaruur
certainty : 	n.##yaqiin
certificate : 	n.##chiTThi(f.)&nbsp;/&nbsp;sadaaqat naamah&nbsp;/&nbsp;sanad&nbsp;/&nbsp;	subuut&nbsp;/&nbsp;wasiiqah
certified : 	n.##saabit&nbsp;/&nbsp;sanad yaaftah
certify : 	v.t.##tausiiq karna&nbsp;/&nbsp;sanad deyna
certitude : 	n.##aeqaan&nbsp;/&nbsp;tayaqqun&nbsp;/&nbsp;yaqiin
chaff : 		n.##bhuusi&nbsp;/&nbsp;phaTkan
chagrin : 	n.##GHam(m.)&nbsp;/&nbsp;ranj(m.)
chagrined : 	n.##GHamgiin&nbsp;/&nbsp;ranjiidah
chain : 		v.t.##baandhna&nbsp;/&nbsp;beyRi lagaana&nbsp;/&nbsp;jakaRna
chain : 		n.##laR&nbsp;/&nbsp;laRi&nbsp;/&nbsp;riSHtah&nbsp;/&nbsp;silsilah&nbsp;/&nbsp;zanjiir
chain stitch : 	n.##zanjiirah(m.)
chained : 	a.##musalsal
chair : 		n.##kursi&nbsp;/&nbsp;ihdah
chairman : 	n.##sadar
chairmanship : 	n.##sadaarat
chalk : 		n.##khariya&nbsp;/&nbsp;raam khali&nbsp;/&nbsp;tabaaSHiir
chalk : 		v.t.##khariya sey likhna
chalky : 		a.##chuuna bhara
challenge : 	v.t.##aagey aana&nbsp;/&nbsp;eteraaz karna&nbsp;/&nbsp;Hujjat karna&nbsp;/&nbsp;ilzaam taraaSHi karna&nbsp;/&nbsp;lalkaarna
challenge : 	n.##dawah&nbsp;/&nbsp;lalkaar
chamber : 	n.##aewaan(m.)&nbsp;/&nbsp;Hujrah(m.)&nbsp;/&nbsp;kamrah(m.)&nbsp;/&nbsp;KHilwat gaah(f.)
chambered : 	a.##kamrah daar&nbsp;/&nbsp;KHaanah daar
chamber pot : 	n.##peySHaab daan(m.)
chamberlain : 	n.##farraaSH&nbsp;/&nbsp;Haajib
chameleon : 	n.##girgiT
chamois : 	n.##gural(f.)
champ : 		v.t.##jugaali karna
champ : 		n.##mard e maedaan(m.)
champagne : 	n.##jhaag waali SHaraab(m.)
champignon : 	n.##khumbi(f.)&nbsp;/&nbsp;saanp chhatri(f.)
champion : 	n.##Hemaayat kaar&nbsp;/&nbsp;mubaariz
championship : 	n.##miir maedaani(f.)
chance : 		n.##baar&nbsp;/&nbsp;ittefaaq&nbsp;/&nbsp;mauqa
chancy : 		a.##GHaer yaqiini
change : 		n.##badal&nbsp;/&nbsp;inqelaab&nbsp;/&nbsp;radd o badal&nbsp;/&nbsp;reyz gaari&nbsp;/&nbsp;tabdiili&nbsp;/&nbsp;ulTa palTi
